id,emergency,lon,lat,target_minutes,dry_primary_facility_cat,dry_primary_facility_name,dry_primary_minutes,dry_primary_mode,dry_primary_within_target,dry_backup_facility_cat,dry_backup_facility_name,dry_backup_minutes,dry_backup_mode,dry_backup_within_target,flood0708_primary_facility_cat,flood0708_primary_facility_name,flood0708_primary_minutes,flood0708_primary_mode,flood0708_primary_within_target,flood0708_backup_facility_cat,flood0708_backup_facility_name,flood0708_backup_minutes,flood0708_backup_mode,flood0708_backup_within_target,warnings
19,injury_drowning,91.06551,24.08823,120,38,Sarail Upazila Health Complex,23,"WALKING, MOTORIZED",True,34,Nasirnagar Upazila Health Complex,46,"WALKING, MOTORIZED",True,38,Sarail Upazila Health Complex,23,"WALKING, MOTORIZED",True,34,Nasirnagar Upazila Health Complex,54,"WALKING, MOTORIZED, boat/wading",True,the backup facility is much slower than the first choice
20,minor_illness,90.8362,24.79111,60,44,Atpara Upazila Health Complex,14,"WALKING, MOTORIZED",True,37,Madan Upazilla Health Complex,35,"WALKING, MOTORIZED",True,44,Atpara Upazila Health Complex,14,"WALKING, MOTORIZED",True,37,Madan Upazilla Health Complex,35,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
21,childbirth_complication,91.10424,24.06253,120,38,Sarail Upazila Health Complex,8,"WALKING, MOTORIZED",True,34,Nasirnagar Upazila Health Complex,32,"WALKING, MOTORIZED",True,38,Sarail Upazila Health Complex,8,"WALKING, MOTORIZED",True,34,Nasirnagar Upazila Health Complex,40,"WALKING, MOTORIZED, boat/wading",True,the backup facility is much slower than the first choice
22,snakebite,90.77543,24.25671,120,18,Katiyadi Upazilla Health Complex,6,MOTORIZED,True,2,Johurul Islam Medical College and Hospital,33,MOTORIZED,True,18,Katiyadi Upazilla Health Complex,6,MOTORIZED,True,2,Johurul Islam Medical College and Hospital,33,MOTORIZED,True,the backup facility is much slower than the first choice
23,injury_drowning,90.77071,24.30178,120,18,Katiyadi Upazilla Health Complex,13,MOTORIZED,True,21,Pakundia Upazilla Health Complex,29,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,13,MOTORIZED,True,21,Pakundia Upazilla Health Complex,29,"WALKING, MOTORIZED",True,
24,minor_illness,90.91064,25.0684,60,24,Kalmakanda Upazila Health Complex,12,"WALKING, MOTORIZED",True,84,Maa O Shishu Clinic,69,"WALKING, MOTORIZED",False,24,Kalmakanda Upazila Health Complex,12,"WALKING, MOTORIZED",True,84,Maa O Shishu Clinic,69,"WALKING, MOTORIZED",False,the backup facility is much slower than the first choice
25,childbirth_complication,91.35112,24.13492,120,36,Madhabpur Upazila Health Complex,18,"WALKING, MOTORIZED",True,10,Habiganj General Hospital,49,"WALKING, MOTORIZED",True,36,Madhabpur Upazila Health Complex,21,"WALKING, MOTORIZED",True,10,Habiganj General Hospital,49,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
26,snakebite,91.60791,24.94204,120,5,Jalalabad Ragib-Rabeya Medical College and Hospital,43,"WALKING, MOTORIZED",True,6,Jalalabad Ragib Rabeya Medical  College  & Hospital,43,"WALKING, MOTORIZED",True,5,Jalalabad Ragib-Rabeya Medical College and Hospital,45,"WALKING, MOTORIZED",True,6,Jalalabad Ragib Rabeya Medical  College  & Hospital,45,"WALKING, MOTORIZED",True,
27,injury_drowning,91.74319,24.29036,120,35,Sreemangal Upazila Health Complex,7,"WALKING, MOTORIZED",True,11,Moulvibaza Sadar Hospital,39,"WALKING, MOTORIZED",True,35,Sreemangal Upazila Health Complex,7,"WALKING, MOTORIZED",True,11,Moulvibaza Sadar Hospital,47,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
28,minor_illness,90.8078,25.05518,60,24,Kalmakanda Upazila Health Complex,41,MOTORIZED,True,71,talukder clinic,50,MOTORIZED,True,24,Kalmakanda Upazila Health Complex,41,MOTORIZED,True,71,talukder clinic,50,MOTORIZED,True,
29,childbirth_complication,91.78361,24.49388,120,11,Moulvibaza Sadar Hospital,6,MOTORIZED,True,33,Rajanagar Upazila Health Complex,19,MOTORIZED,True,11,Moulvibaza Sadar Hospital,6,MOTORIZED,True,33,Rajanagar Upazila Health Complex,19,MOTORIZED,True,
30,snakebite,91.38211,24.25173,120,10,Habiganj General Hospital,28,MOTORIZED,True,4,Habiganj Medical College,28,MOTORIZED,True,10,Habiganj General Hospital,28,MOTORIZED,True,4,Habiganj Medical College,28,MOTORIZED,True,
31,injury_drowning,91.2256,24.73845,120,47,OSM 6574122409 (bangla name),52,"WALKING, MOTORIZED",True,30,Ajmiriganj Upazila Health Complex,99,"WALKING, MOTORIZED",True,47,OSM 6574122409 (bangla name),52,"WALKING, MOTORIZED",True,30,Ajmiriganj Upazila Health Complex,103,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
32,minor_illness,91.66301,24.23189,60,35,Sreemangal Upazila Health Complex,46,"WALKING, MOTORIZED",True,99,Mazumder Nursing Clinic,46,"WALKING, MOTORIZED",True,100,Dipshikha Infertility Center,69,"WALKING, MOTORIZED",False,99,Mazumder Nursing Clinic,69,"WALKING, MOTORIZED",False,the nearest qualifying facility changes in the flood; the flood adds 23 minutes; the flood pushes this point beyond the target time
33,childbirth_complication,90.95491,24.96881,120,29,Mohanganj Upazila Health Complex,39,MOTORIZED,True,44,Atpara Upazila Health Complex,72,"WALKING, MOTORIZED",True,29,Mohanganj Upazila Health Complex,39,MOTORIZED,True,24,Kalmakanda Upazila Health Complex,78,MOTORIZED,True,the backup facility is much slower than the first choice
34,snakebite,90.70943,24.09324,120,48,Belabo Upazila Health Complex,42,MOTORIZED,True,18,Katiyadi Upazilla Health Complex,46,MOTORIZED,True,48,Belabo Upazila Health Complex,42,MOTORIZED,True,18,Katiyadi Upazilla Health Complex,46,MOTORIZED,True,
35,injury_drowning,90.79522,24.1938,120,18,Katiyadi Upazilla Health Complex,19,MOTORIZED,True,48,Belabo Upazila Health Complex,29,MOTORIZED,True,18,Katiyadi Upazilla Health Complex,19,MOTORIZED,True,48,Belabo Upazila Health Complex,29,MOTORIZED,True,
36,minor_illness,90.84003,24.22153,60,18,Katiyadi Upazilla Health Complex,11,MOTORIZED,True,2,Johurul Islam Medical College and Hospital,22,MOTORIZED,True,18,Katiyadi Upazilla Health Complex,11,MOTORIZED,True,2,Johurul Islam Medical College and Hospital,22,MOTORIZED,True,
37,childbirth_complication,90.64648,24.25477,120,21,Pakundia Upazilla Health Complex,24,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,30,"WALKING, MOTORIZED",True,21,Pakundia Upazilla Health Complex,24,"WALKING, MOTORIZED",True,18,Katiyadi Upazilla Health Complex,30,"WALKING, MOTORIZED",True,
38,snakebite,91.82932,24.56648,120,33,Rajanagar Upazila Health Complex,36,"WALKING, MOTORIZED",True,11,Moulvibaza Sadar Hospital,56,"WALKING, MOTORIZED",True,33,Rajanagar Upazila Health Complex,41,"WALKING, MOTORIZED",True,11,Moulvibaza Sadar Hospital,61,"WALKING, MOTORIZED",True,the backup facility is much slower than the first choice
39,injury_drowning,90.89902,24.87776,120,29,Mohanganj Upazila Health Complex,36,"WALKING, MOTORIZED",True,44,Atpara Upazila Health Complex,42,"WALKING, MOTORIZED",True,29,Mohanganj Upazila Health Complex,36,"WALKING, MOTORIZED",True,44,Atpara Upazila Health Complex,42,"WALKING, MOTORIZED",True,
40,minor_illness,91.16756,24.37931,60,58,Uzangao community clinic,208,WALKING,False,59,Mamudnagar Community clinic,216,WALKING,False,58,Uzangao community clinic,211,"WALKING, boat/wading",False,59,Mamudnagar Community clinic,217,"WALKING, boat/wading",False,outside the target time even in the dry season; the flood-season path crosses flooded ground
